,Feature,Importance,Band_Number,Band_Name
0,f144,90.35501098632812,144,VH_savg: Sum Average
1,f44,80.13141632080078,44,summer_GNDVI: Summer GNDVI median
2,f127,60.01421737670898,127,VV_svar: Sum Variance
3,f82,28.95868110656738,82,elevation: SRTM elevation (m)
4,f83,22.40939521789551,83,slope: Terrain slope (degrees)
5,f32,19.12160110473633,32,spring_GNDVI: Spring GNDVI median
6,f107,16.90725898742676,107,NDVI_idm: Inverse Difference Moment
7,f43,12.06187152862549,43,summer_SAVI: Summer SAVI median
8,f41,11.40198135375977,41,summer_NDWI: Summer NDWI median
9,f137,11.35737323760986,137,VV_shade: Shade
10,f10,10.56317520141602,10,B11: Sentinel-2 SWIR 1 (1610nm)
11,f84,10.53473567962646,84,aspect: Terrain aspect (degrees)
12,f47,9.692047119140623,47,summer_RENDVI: Summer RENDVI median
13,f90,9.45114040374756,90,CanopyHeight_savg: Sum Average
14,f141,8.90190601348877,141,VH_corr: Correlation
15,f116,8.669814109802246,116,NDVI_maxcorr: Max Correlation Coef
16,f2,8.30066204071045,2,B2: Sentinel-2 Blue band (490nm)
17,f11,8.125879287719727,11,B12: Sentinel-2 SWIR 2 (2190nm)
18,f29,8.096698760986328,29,spring_NDWI: Spring NDWI median
19,f59,7.93336009979248,59,autumn_RENDVI: Autumn RENDVI median
20,f49,7.899036884307861,49,summer_MSR: Summer MSR median
21,f111,7.522381782531738,111,NDVI_ent: Entropy
22,f21,7.478934764862061,21,RENDVI: Red edge NDVI variant
23,f37,7.408787727355957,37,spring_MSR: Spring MSR median
24,f56,7.196707725524902,56,autumn_GNDVI: Autumn GNDVI median
25,f27,6.875133037567139,27,spring_EVI: Spring EVI median
26,f35,6.708227157592773,35,spring_RENDVI: Spring RENDVI median
27,f124,6.705491065979004,124,VV_var: Variance
28,f30,6.685098648071289,30,spring_NDMI: Spring NDMI median
29,f86,6.6615891456604,86,CanopyHeight_contrast: Contrast
30,f120,6.259767055511475,120,NDVI_prom: Prominence
31,f55,6.228140830993652,55,autumn_SAVI: Autumn SAVI median
32,f18,6.131422519683838,18,GNDVI: Green NDVI
33,f5,6.12555980682373,5,B5: Sentinel-2 Red edge 1 (705nm)
34,f115,6.084185123443604,115,NDVI_imcorr2: Info Measure Corr2
35,f94,6.025258541107178,94,CanopyHeight_dvar: Difference Variance
36,f103,5.931791305541992,103,NDVI_asm: Angular Second Moment
37,f31,5.922382831573486,31,spring_SAVI: Spring SAVI median
38,f139,5.792866230010986,139,VH_asm: Angular Second Moment
39,f6,5.673816204071045,6,B6: Sentinel-2 Red edge 2 (740nm)
40,f61,5.660601615905762,61,autumn_MSR: Autumn MSR median
41,f85,5.659458160400391,85,CanopyHeight_asm: Angular Second Moment
42,f132,5.652327537536621,132,VV_imcorr1: Info Measure Corr1
43,f25,5.630019664764404,25,NDVI_stdDev: Standard deviation of NDVI over year
44,f119,5.62068510055542,119,NDVI_shade: Shade
45,f4,5.549847602844238,4,B4: Sentinel-2 Red band (665nm)
